participant.code,treatment,ratio,choice_X
13k8x64z,0,0.332613390928726,0
13k8x64z,0,0.249618320610687,0
13k8x64z,0,0.666306695464363,0
13k8x64z,0,0.110691144708423,0
13k8x64z,0,0.818034557235421,1
13k8x64z,0,0.176025917926566,0
13k8x64z,0,0.0518358531317495,0
13k8x64z,0,0.333153347732181,0
13k8x64z,0,0.110691144708423,0
13k8x64z,0,0.333153347732181,0
13k8x64z,0,0.817494600431966,1
13k8x64z,0,0.816793893129771,1
13k8x64z,0,0.109923664122137,0
13k8x64z,0,0.666306695464363,0
13k8x64z,0,1.0,1
13k8x64z,0,0.175572519083969,0
13k8x64z,0,0.110151187904968,0
13k8x64z,0,0.109923664122137,0
13k8x64z,0,0.0519083969465649,0
13k8x64z,0,0.332824427480916,0
13k8x64z,0,0.0519083969465649,0
13k8x64z,0,0.817557251908397,1
13k8x64z,0,0.0523758099352052,0
13k8x64z,0,0.249460043196544,0
13k8x64z,0,0.332613390928726,0
13k8x64z,0,0.176335877862595,0
13k8x64z,0,0.665648854961832,0
13k8x64z,0,0.42824427480916,0
13k8x64z,0,0.249618320610687,0
13k8x64z,0,1.0,1
13k8x64z,0,0.332824427480916,0
13k8x64z,0,0.175572519083969,0
13k8x64z,0,0.109923664122137,0
13k8x64z,0,0.666412213740458,0
13k8x64z,0,1.0,1
13k8x64z,0,0.110687022900763,0
13k8x64z,0,0.249460043196544,0
13k8x64z,0,0.248854961832061,0
13k8x64z,0,0.818034557235421,1
13k8x64z,0,0.817494600431966,1
13k8x64z,0,0.0518358531317495,0
13k8x64z,0,0.249618320610687,0
13k8x64z,0,0.0523758099352052,0
13k8x64z,0,0.176025917926566,0
13k8x64z,0,0.0518358531317495,0
13k8x64z,0,0.332613390928726,0
13k8x64z,0,0.176025917926566,0
13k8x64z,0,0.249618320610687,0
13k8x64z,0,0.110151187904968,0
13k8x64z,0,0.428185745140389,0
13k8x64z,0,0.0519083969465649,0
13k8x64z,0,0.176025917926566,0
13k8x64z,0,0.110687022900763,0
13k8x64z,0,0.249460043196544,0
13k8x64z,0,0.665648854961832,0
13k8x64z,0,0.538167938931298,0
13k8x64z,0,0.248854961832061,0
13k8x64z,0,0.332824427480916,0
13k8x64z,0,0.537796976241901,1
13k8x64z,0,0.332824427480916,0
13k8x64z,0,0.537796976241901,0
13k8x64z,0,0.816793893129771,1
13k8x64z,0,0.666412213740458,1
13k8x64z,0,0.666846652267819,0
13k8x64z,0,0.176025917926566,0
13k8x64z,0,0.0523758099352052,0
13k8x64z,0,0.427480916030534,0
13k8x64z,0,0.332824427480916,0
13k8x64z,0,0.176335877862595,0
13k8x64z,0,0.538167938931298,0
13k8x64z,0,1.0,0
13k8x64z,0,0.537796976241901,0
13k8x64z,0,0.110687022900763,0
13k8x64z,0,0.427645788336933,0
13k8x64z,0,0.176335877862595,0
13k8x64z,0,0.176025917926566,0
13k8x64z,0,0.817494600431966,1
13k8x64z,0,0.818034557235421,1
13k8x64z,0,0.538336933045356,0
